frame,t,agent,x,y,vx,vy
0,0.0,0,5.118216247002567,9.504636963259353,0.36853322600744265,0.33791013794875585
0,0.0,1,1.4415961271963373,9.486494471372438,-0.319350325987566,0.38472765600049513
0,0.0,2,3.1183145201048545,4.233264489725757,0.41601934035547783,0.27735880813522595
0,0.0,3,8.277025938204417,4.091991363691613,-0.40538478975982023,-0.2926827159765099
0,0.0,4,5.495936876730595,0.27559113243068367,-0.03253715691774026,0.49894021026542884
0,0.0,5,7.535131086748066,5.381433132192782,-0.04498866137985263,0.49797190718678996
0,0.0,6,3.297317164990922,7.884287034284043,-0.11925042257668513,0.4855711448544714
0,0.0,7,3.03194829291645,4.534978894806515,0.40868491246584737,0.2880566651247332
0,0.0,8,1.3404169724716475,4.031129864471293,-0.028433491877321856,-0.49919088186750993
0,0.0,9,2.034552406761496,2.6231334044184953,-0.2921809598395912,-0.40574657941529857
0,0.0,10,7.503646726300525,2.8040875798603992,-0.392155978305142,-0.31018331463754945
0,0.0,11,4.851909744316351,9.807371998012385,0.4886036821248175,0.1061434963343036
0,0.0,12,9.616571936637868,7.2478994077353365,-0.4516941897609202,0.21441165765001174
0,0.0,13,5.412268555474342,2.768912040453708,-0.19798679033339364,-0.45913095174849716
0,0.0,14,1.6065200877512686,9.699254132161325,0.2775326023394276,0.4159034198449264
0,0.0,15,5.160685855478787,1.1586561247077032,-0.37641904704762147,0.32910287300441565
0,0.0,16,6.234897555375004,7.76683114342298,0.4961223858479858,0.062149644089908675
0,0.0,17,6.130033010530404,9.172977047909027,0.43531151734757206,0.24597537044296622
0,0.0,18,0.3959287666420286,5.285892632600216,0.10461055486494465,0.48893417942586953
0,0.0,19,4.593358828854037,0.623495791498756,-0.42981051167796064,0.25546609178348834
0,0.0,20,6.41328169139375,8.526328384806568,-0.48672243786170794,0.11446077267761146
0,0.0,21,5.92941018104284,2.6009744773722323,0.37405978871045964,-0.3317819682711619
0,0.0,22,8.398815210314087,5.094958815215094,-0.20334471707363097,0.45678323747511246
