t,polar_order,radius_of_gyration,nn_distance,n_fragments,largest_cluster_frac,mean_neighbors,density,heading_entropy,mean_speed
0.0,0.1027274442228004,4.03880250841005,0.4833129153462947,9,0.7083333333333334,3.65,1.2,0.9751488409631365,0.5
1.0000000000000002,0.6976187430980307,3.8449378641502223,0.47532732772574776,5,0.9583333333333334,3.716666666666667,1.2,0.7699029374630202,0.5
2.000000000000001,0.8314291102421538,3.750433831541968,0.46489766505274527,3,0.9833333333333333,4.083333333333333,1.2,0.6531431743124955,0.5
2.9999999999999973,0.8478018502723624,3.7597941933751073,0.4624336072927812,3,0.9833333333333333,4.166666666666667,1.2,0.6526880249423915,0.5
3.999999999999994,0.8416383903196969,3.8532040398462253,0.45881752053698754,2,0.9916666666666667,4.183333333333334,1.2,0.6277904816857419,0.5
4.99999999999999,0.7886966571954918,3.985683388846472,0.4556675436749203,2,0.9916666666666667,4.233333333333333,1.2,0.6621736456133843,0.5
5.999999999999987,0.8586895076998652,3.875984452894001,0.45008403442316575,1,1.0,4.3,1.2,0.6100463302275814,0.5
6.999999999999983,0.9200335190926184,3.819943559457427,0.4410166907780079,1,1.0,4.433333333333334,1.2,0.5255537408027218,0.5
7.99999999999998,0.9302907512536748,3.8184631933505107,0.437812398884882,1,1.0,4.516666666666667,1.2,0.5091821390709804,0.5
8.999999999999993,0.945666945207507,3.822232668281799,0.4385703259068297,1,1.0,4.616666666666666,1.2,0.4679281807525299,0.5
10.000000000000007,0.9637879099379075,3.8172407211399104,0.4447620918794134,1,1.0,4.55,1.2,0.4055611147514221,0.5
11.000000000000021,0.9342401416149511,3.823346643543832,0.4481179144584802,1,1.0,4.433333333333334,1.2,0.4888206762745027,0.5
12.000000000000036,0.9222563182191552,3.876319572094125,0.45005906097643883,1,1.0,4.45,1.2,0.5181200757222161,0.5
13.00000000000005,0.9141823604676459,3.9263522030303974,0.4421760991030152,1,1.0,4.7,1.2,0.545409593707592,0.5
14.000000000000064,0.9349790199130649,3.899521316392952,0.439382364924698,1,1.0,4.75,1.2,0.5059092541061065,0.5
